,Category,Headline,SubHeading,isResult,isMaybe
971,FORMEL 1 ,Formel 1-dommeres fejl får Hamilton til at bede om hjælp fra AI ,Den syvdobbelte verdensmester er ikke imponeret over dommerne i Formel 1 ,False,
972,TOUR DE FRANCE ,Vildt VM-drama koster verdensstjerne medalje og truer den videre deltagelse,"Verdensranglistens nr. 1 Annemiek van Vleuten styrtede voldsomt i mixed relay-disciplinen, der gav schweizisk sejr og dansk 6.-plads ",True,
973,Fodbold ,"Da Hjulmand bænkede Kjær, brændte han træningsbanen af",Simon Kjær har spillet 128 landskampe for Danmark. Kun Peter Schmeichel har flere ,False,
974,CYKLING ,Tidligere verdensmester savner afklaring om superfusion med Vingegaards hold ,"Julian Alaphilippe er ikke synderligt begejstret over, at hans hold potentielt skal slås sammen med Jonas Vingegaards hold ",False,
975,GOLF,Thorbjørn Olesen fuldender comeback med sejr i England,"Thorbjørn Olesen slukkede en fire år lang sejrstørke, da han med en flot afslutning vandt British Masters ",True,
976,Håndbold ,Mors-Thy forlænger forrygende sæsonstart med sejr over TTH,Efter en tæt første halvleg trak Mors-Thy fra i anden halvleg og slog sikkert TTH Holstebro 30-26 ,True,
977,Ishockey,Stor svensk VM-hjælp til Danmark,Med en svensk straffeslagssejr over Ungarn er vejen til en dansk VM-kvartfinaleplads blevet lidt kortere,True,
978,BASKETBALL ,Aarhusianske Bakken vinder DM i basket for tredje gang i træk ,Bakken Bears fortsatte dominansen og vandt DM-guld i basketball med en udesejr over Horsens IC ,True,
979,ISHOCKEY ,1-7: Dansk ishockeys største fik den værst tænkelige afsked,"Det danske ishockeylandshold tabte klart til Slovakiet og er færdig ved VM i Finland, som blev sidste stop i Frans Nielsens karriere. ",True,
980,GOLF ,Tiger: Jeg spillede faktisk godt ,Tiger Woods og Rory McIlroy røg begge ud i første runde af WGC Match Play Championship ,True,
981,Curling ,Curlinglandshold åbner EM med nederlag til Sverige,Både de danske curlingherrer og -damer tabte til Sverige ved EM i Helsingborg ,True,
982,KORT SPORT ,Vejle vinder topbrag og er meget tæt på superligabillet ,Vejle Boldklub er så godt som sikker på at vende tilbage til Superligaen efter blot én sæsons fravær ,True,
983,FODBOLD,EM-kvalifikationskamp afbrudt: Gerningsmand bag to skuddrab i Bruxelles gik bevidst efter svenskere,"Den belgiske anklagemyndighed efterforsker skuddrab som et formodet terrorangreb og oplyser, at motivet for drabet på to svenskere før EM-kvalifikationskamp i Bruxelles var ofrenes nationalitet. Kampen blev ikke genoptaget efter pausen ",False,
984,Ishockey,Dansk klub samler ind ? vil holde russer væk fra krig,Frederikshavn White Hawks har startet en indsamling for at beholde Aleksandr Bumagin og familien i landet,False,
985,Sejlsport ,Dansk Nacra-duo ligger til VM-medalje før sidstedag,Lin Ea Cenholt og Christian Peter Lübeck avancerede til samlet tredjeplads i Nacra 17 ved VM i sejlsport,True,
986,CHAMPIONS LEAGUE ,Norsk stjerne kritiserer sig selv efter vigtig sejr: 'Ikke godkendt fra min side' ,"Nora Mørk var glad for Team Esbjergs sejr over Metz, men mente bestemt ikke, at hun selv havde en god dag på kontoret ",True,
987,HÅNDBOLD ,"Louise Burgaard har taget sine tæsk i Frankrig, og vender nu hjem som 'en rigtig voksen' ","Fra næste sommer er Louise Burgaard tilbage i den danske liga, hvor hun skifter til Odense Håndbold ",False,
988,Sejlsport ,Danmark missede podieplads i SailGP,Tekniske problemer med kommunikationsudstyret gjorde det svært for Danmark i de sidste to sejladser i SailGP,True,
989,Fodbold ,Efter total forvirring: Hjulmand fik forkert information om Højlund,"Rasmus Højlund kom i fokus af andre årsager end det flotte føringsmål, han scorede mod San Marino ",False,
990,Vinter-OL,Dansk harme er blevet hørt - men presset fortsætter,Danmarks Idrætsforbund (DIF) har kæmpet hårdt for at forbedre forholdene for de isolerede atleter. Nu er der sket fremskridt,False,
991,KORT SPORT ,Tidligere verdensmester i atletik er død som 32-årig ,"Tori Bowie, tidligere verdensmester i 100 meter løb, er død i en alder af 32 år ",False,x
992,Ishockey VM,"- Pilen peger på mig, siger landstræner efter brøler","TV 2 Sports ishockeyekspert kalder det 'en kæmpe skrivebordsfejl', at Danmarks tredjemålmand ikke er skrevet ind i turneringen",False,
993,Volleyball ,Byer bakker op om volleyball-EM,I værste fald kunne Dansk Volleyball Forbund (DVF) have måttet opgivet drømmen om at få EM til Danmark i 2011,False,
994,CYKLING,VM kan blive dansk medaljefest ,"Når der køres VM i landevejscykling i København, kan det, ifølge Danmarks Cykel Union, ende med at blive en stor dansk succes: ",False,
995,Curling ,Danske curlingkvinder smider føring misser EM-semifinale,"Danmark førte med 4-2, men tabte med 6-7 efter omspil til Italien og har ikke længere chance for avancement ",True,
996,Fodbold ,Atlético vinder drama med flere røde kort,En situation med fem minutter tilbage endte med at udløse to røde kort,True,
997,Baseball ,Brillante Red Sox vinder World Series med sejr over Dodgers,Boston-holdet knuste på udebane Los Angeles 5-1 og vandt dermed for niende gang den fornemste baseballtitel ,True,
998,Golf ,Koerstz Madsen misser stor triumf i omspil,"Nanna Koerstz Madsen var alene i spidsen for LPGA-turnering i USA, men en bogey på 18. hul kostede dyrt",True,
999,SPORT,FCK får medhold i forkert udvisning,"FCK's Kevin Diks slipper for karantæne, efter at et gult kort er trukket tilbage af dommer Jakob Sundberg ",False,
1000,SPORT ,Danske vikinger vinder europamesterskabet i softball ,Amager Vikings vandt i weekenden softball-turneringen Super Cup med en sejr over Stenløse Bulls ,True,
1001,Atletik ,Smadrer 39 år gammel dansk rekord,"Ida Karstoft skar mere end et halvt sekund af den danske rekord på 200 meter, da hun vandt et stævne i Polen",True,
1002,Ishockey VM,Ond stemning i topbrag i Danmarks pulje,I en fremragende kulisse bragede Canada og Schweiz sammen i et af VM-slutrundens mest intense og dramatiske opgør indtil videre,False,
1003,CYKLING,"Historisk dansk afsæt til forårets skrappe prøvelser, der lægger kimen til sommerens Tour de France-eventyr","Med seks sejre har danske ryttere fået en hidtil uset succesrig optakt til to intense måneder, der byder på i alt 15 af sæsonens 33 WorldTour-løb og blandt andet fire af fem monumenter ",True,x
1004,Volleyball ,Ikke længere tvunget til mini-trusser,"Det kan være slut med de små og omdiskuterede bikinier i beachvolley, skriver den norske avis Stavanger Aftenblad",False,
1005,Baseball ,Cubansk guld i baseball,De dobbelte olympiske mestre i baseball vandt guld onsdag aften efter den ventede sejr over sensationsmandskabet fra Australien ,True,
1006,SPORT ,VIDEO Norsk frustration efter nedtur i langrend ,Det skulle have været vinter-OLs letteste guld - i stedet blev det den største fiasko ,True,
1007,KVINDELANDSHOLDET ,KARAKTERER Hattrick-Harder holdt hof mod waliserne ,Danmarks anfører var målfarlig og bidrog med mange gode detaljer. Se bedømmelserne af de danske spillere efter kampen mod Wales herunder ,True,x
1008,SPORT ,Dansk bokser er klar til stor kamp,Patrick Nielsen skal bokse om verdensmesterskabet til juni. Det fortæller Ekstra Bladet ,False,
1009,HERRELANDSHOLDET ,Finsk landsholdsspiller med fortid i Brøndby håber på hjælpende dansk EM-hånd ,Den finske landsholdsmålmand Lukas Hradecky håber på dansk hjælp i Finlands jagt på en EM-plads ,False,
1010,Ishockey VM,Canada lægger sig fladt ned efter sensationelt nederlag,"Danmark viste fightervilje og desperation, som Canadas landstræner kalder det, i tredje periode, og det skal Canada også gøre fremover",True,
1011,Cykling ,Lotto-profil straffet for at slå konkurrent,Den stærke belgier fortryder sin handling ,False,
1012,Ridning ,Veteran sikrer dansk OL-plads i military,"Danmark får deltagere med til OL i både military, dressur og ridebanespringning ",True,x
1013,SPORT ,"Konstant overvågning er stressende, grænseoverskridende, men vigtig i dopingjagten ","Selvom det kræver et stort arbejde at udfylde sine whereabouts, er det vigtigt for at sikre en ren sport, mener sprinteren Ida Karstoft og cykelrytteren Michael Mørkøv ",False,
1014,FODBOLD,Ronaldo sætter nye standarder: Her er hemmeligheden bag de gamle stjerners suverænitet,"I dag har topatleter som Ronaldo, Messi og Serena Williams lige så meget fokus på friskhed som fysisk styrke. Det er kilden til at undgå skader og holde karrieren i gang",False,
1015,Ishockey,Rungsted bryder negativ stime,"Rungsted vandt onsdag aften med 4-3, da holdet mødte Aalborg Pirates på udebane i Metal Ligaen",True,
1016,EM HÅNDBOLD ,To point kan blive altafgørende for dansk EM-succes i mellemrunden ,Efter håndboldlandsholdets EM-sejr mod Sverige tirsdag kommer Danmark til at gå videre til mellemrunden med to point ,True,
1017,Ishockey VM,Dansk VM-helt stopper på landsholdet,VM i Finland blev et farvel til landsholdet for Sebastian Dahm. Det fortæller han til TV 2 SPORT,False,
1018,FODBOLD ,Milan sælger målmandstrøjer med Girouds navn på ryggen efter aparte målmandsbytte,"Den franske angriber Olivier Giroud er blevet en populær herre i AC Milan, efter at han stod på mål i Serie A ",False,
1019,OL,"- Det føles fantastisk, siger Dufour trods misset medalje","Det var tæt på, at Cathrine Dufour bragte en OL-medalje hjem til Danmark, men det glippede akkurat til sidst ",True,
1020,SPORT ,"Blev diskvalificeret: Ukrainsk fægter får garantiplads ved OL, efter hun nægtede at give hånd til russer ",Fægter blev diskvalificeret ved VM for at nægte håndtryk til russisk modstander. Men det er nu ophævet igen ,False,
1021,Ishockey VM,Dansk profil misser VM,Patrick Russell har været under kniven og misser af den grund den kommende VM-turnering i Finland,False,
1022,Volleyball ,Seks hold jagter DM-guld i volleyball,Danmarks bedste volleyballspillere skal for første gang spille playoffkampe om DM-titlen,False,
1023,Cykling ,Cort havde en særlig grund til at håbe på superfusion,Mange cykeliagttagere har ikke været begejstrede for den nu skrinlagte fusion ,False,
1024,Tennis ,Nadal gør comeback i stor turnering,"Spanieren har været ude siden januar, hvor han kom til skade i netop Australian Open ",False,x
1025,Ishockey,Danmark dukker Italien i OL-jagt,Danmark indfriede favoritværdigheden og slog torsdag Italien med 4-0 i OL-kvalifikationen,True,
1026,HÅNDBOLD ,"Landsholdets søskendepar deler store oplevelser, men ikke værelse: 'For meget gak og løjer' ","Søstrene Sarah og Rikke Iversen, der er med håndboldlandsholdet til EM, forsøger at holde grinene inde under første slutrunde sammen ",False,
1027,SPORT ,Rudy Markussen melder afbud ,Rudy Markussen har på grund af en rygskade valgt at melde afbund til Team Palle-stævnet i Silkeborg næste fredag ,False,x
1028,Ishockey VM,Her er den nye danske VM-kaptajn,Efter Peter Regins farvel har Heinz Ehlers fundet sin nye kaptajn på det danske VM-hold,False,
1029,FODBOLD,Live: Højlunds kanonmål er eneste lyspunkt i en pinlig halvleg,Føle liveopdateringerne fra Danmarks EM-kvalifikationskamp på udebane mod San Marino ,False,
1030,BASKETBALL ,Danske basketballherrer tabte pusten mod Belgien ,Trods 16 point i træk i sidste quarter tabte Danmark klart på hjemmebane til Belgien i EM-kvalifikationen ,True,
1031,Fodbold ,Opgør i EM-kvalen udsat på grund af angreb,"Opgøret mellem Israel og Schweiz er udsat på grund af sikkerhedssituationen i Israel, oplyser UEFA ",False,
1032,SUPERLIGA ,Duncan: Vi vinder på en dårlig dag ,"FCM-angriberen Morten Rasmussen er glad for, at ulvene fredag slog Sønderjyske på trods af en ringe indsats ",True,
1033,Ishockey,Herning får pokalrevanche og triumferer i Aalborg,Herning Blue Fox vandt pokalfinalen med 4-2 over Aalborg Pirates på nordjydernes egen is,True,
1034,GOLF ,"STOOOP! Unge stærke stjerner slår nu så hårdt og langt, at golf er ramt af boldkrise ","Verdens bedste golfspillere slår for langt, mener mange. Det skal nye bolde skal lave om på, hvilket begejstrer danske Søren Kjeldsen ",False,
1035,EM HÅNDBOLD ,KARAKTERER Suveræn dansker scorer stensikkert 12-tal: Bedøm selv spillerne her ,Dyk ned i karaktererne til de danske spillere efter gruppesejren over Sverige ved EM ,True,
1036,FORMEL 1 ,Magnussens motorproblemer på Monza: Udgår efter 20 omgange ,Kevin Magnussen udgik efter 20 omgange af Formel 1-grandprixet på Monza ,False,x
1037,Baseball ,Skudepisode stopper baseballkamp,To baseballhold er blevet bedt om at indstille kamp i Washington D.C. på grund af skud uden for stadion ,False,
1038,SVØMNING ,Mange danske EM-svømmere fik slukket finaledrømme ,"Torsdag formiddag var ingen succes for de danske EM-svømmere, hvor i alt 17 røg ud i de indledende heats ",True,
1039,Sejlsport ,"Dansk sejler jubler over OL-garanti, selvom 'ikke meget er sikkert lige nu'","Det er dejligt med en OL-garanti, siger sejler Ida Marie Baad, men meget er stadig usikkert",False,
1040,TENNIS,Wozniackis overkvinde vinder sin første grand slam-titel,"Den 19-årige Coco Gauff tabte første sæt klart, men slog alligevel Aryna Sabalenka i US Open-finalen ",True,
1041,KORT SPORT ,"Frankrig, Belgien og Portugal booker billet til EM ","Frankrig, Belgien og Portugal er klar til næste sommers EM i fodbold ",True,
1042,FORMEL 1 ,Stor dansk nedtur for andet Formel 1-løb i træk,Formel 1-løbet i Baku blev endnu en dag til glemmebogen for Kevin Magnussen og Haas ,True,
1043,CHAMPIONS LEAGUE ,"Aalborg Håndbold er klar til revanchedyst mod det parisiske 'monster', der ændrede klubben for altid ","Onsdag aften skal Aalborg Håndbold for første gang op i mod Paris Saint-Germain, siden danskerne slog den franske storklub i Champions League-semifinalen i 2021 ",False,x
1044,Volleyball ,Danmarks volleyherrer er sensationelt videre ved EM,"Den altafgørende tredjeplads i pulje A ved volley-EM var inden for rækkevidde, da Danmark søndag spillede et bundbrag mod Hviderusland om at komme videre til en EM-ottendedelsfinale",True,
1045,Volleyball ,Marienlyst skal have ny træner,De danske mestre og pokalvindere i volleyball fra Marienlyst skal på jagt efter en ny træner blot tre måneder efter ansættelsen af svenske Tony Westman,False,
1046,Ishockey VM,Britisk sensation giver Danmark uventet hjælp,For første gang i 59 år vandt Storbritannien en VM-kamp i ordinær tid,True,
1047,Baseball ,Baseball-spillere dopet,"En talsmand for det græske baseball-hold til OL oplyste mandag, at to af holdets spillere er blevet testet positive for forbudte stoffer ved en A-prøve ",False,
1048,Ishockey VM,Sveriges topscorer færdig ved VM,"Carl Klingberg må rejse hjem fra VM efter en skade, han pådrog sig i søndagens kamp mod Belarus",False,
1049,KORT SPORT ,Hermoso udtaget til landsholdet for første gang siden kyssesag ,Jennifer Hermoso har ikke spillet en landskamp for Spanien siden VM-finalen i Australien den 20. august ,False,
1050,FORMEL 1,Magnussen misser point for første gang siden comeback,"Max Verstappen udgik i søndagens grandprix, hvor Kevin Magnussen endte uden for pointene ",True,
1051,TOUR DE FRANCE ,"Han er den seneste toprytter, der er taget for doping, men det åbne spørgsmål er, om det er en god eller dårlig nyhed","Bekymrede ryttere tager kontakt til cykelsportens præsident med mistanker om doping, men ingen er testet positiv på øverste niveau i flere år. Det stiller nye krav til dopingjægere ",False,
1052,BASKETBALL ,NBA-træner gør 'sin forbandede pligt' og lægger sig ud med amerikansk våbenlovgivning ,"Steve Kerr indleder i nat NBA-finalerne, men det er ikke sporten, der har fyldt på det seneste ",False,
1053,Fodbold ,Falks kongemål fratager AGF sejren,"FC København missede muligheden for at spille sig tilbage på førstepladsen, men fik et enkelt point med fra Aarhus ",True,
1054,Ishockey VM,Danske spillere forklarer nederlag,"Danmark led torsdag aften et smalt nederlag på 1-0 til Tyskland, som kan få betydning for det danske mål om en plads i kvartfinalerne",True,
1055,Ishockey,Danmark får tyske tæv ved VM,Danmark tabte med 1-3 til Tyskland ved A-VM og er næsten ude af slutrunden i Canada,True,
1056,KORT SPORT ,DBU-chef ser tiden an for eventuel støttemarkering for krigen mellem Israel og Hamas ,Englands fodboldlandshold vil spille med sørgebind samt holde ét minuts stilhed i fredagens venskabskamp mod Australien i respekt for ofrene i krigen mellem Israel og terrororganisationen Hamas ,False,
1057,Ridning ,Vandt VM-bronze i 1982 - i dag vandt 58-årig englænder OL-guld,58-årige Nick Skelton fra Storbritannien har netop vundet OL-guld efter omspring med fem andre ,True,
1058,Ishockey VM,Canada klar til femte VM-finale på syv år,"Canada er som den første nation klar til VM-finalen i Letland. Lørdag aften afgøres det, om modstanderen i finalen er Finland eller Tyskland",False,
1059,Sejlsport ,"- Rindom er i en liga helt for sig selv, siger sportschef",Verdensmester Anne-Marie Rindom får ros for sin vedholdenhed af sportschef Thomas Jacobsen,False,
1060,Ishockey VM,Danmark slår Frankrig efter drømmemål i overtiden,De danske ishockeyherrer får to point med fra opgøret mod Frankrig,True,
1061,KORT SPORT ,Danmark snupper pligtsejr over Colombia ved VM i kørestolsrugby ,Det danske landshold i kørestolsrugby er tilbage på sporet ved VM i Vejle ,True,
1062,Sejlsport ,Rindom nomineret til stor pris: - Den største anerkendelse,Anne-Marie Rindom kan for anden gang i træk blive modtager af en fornem pris fra sejlsportens verdensforbund,False,
1063,Ishockey,Danmarks første NHL-spiller stopper karrieren,"Frans Nielsen nåede at spille knap 1000 kamp i NHL, før han sidste år vendte tilbage til Europa",False,
1064,ISHOCKEY ,Dansk ishockeystjerne er VM-klar efter økonomisk bøvl: 'Jeg glæder mig' ,"Nikolaj Ehlers kan deltage for Danmark ved VM i ishockey, efter at der har været tvivl om hans deltagelse ",False,
1065,CYKLING,Mads Pedersen vinder igen i dramatisk Vuelta-afslutning,Efter en kedelig etape sluttede Mads Pedersen som triumfator i Vueltaen i den hæsblæsende afslutning ,True,
1066,Cykling ,Norsgaard opereret: - Det har været en ordentlig omgang,Den danske Movistar-rytter blev udskrevet efter operationen og kom hjem allerede onsdag ,False,
1067,Fodbold ,"Rørt Kjær fik lov til at gøre noget, han aldrig har prøvet før",Sejren over Kasakhstan var af flere årsager speciel for anfører Simon Kjær ,True,
1068,Ishockey,Dansker gik pointamok i NHL-premiere,"Oliver Bjorkstrand blev kåret som kampens bedste, da Columbus Blue Jackets åbnede sæsonen med en 8-2-sejr",True,
1069,Vinter-OL,De bliver Danmarks OL-fanebærere,"Når Danmark træder ind til åbningen af vinter-OL, bliver det med Frans Nielsen og Madeleine Dupont i front",False,
1070,BASKETBALL ,"NBA-stjerne har indledt jagten på en rekord, der end ikke giver mening for ham selv ",LeBron James kan i denne sæson blive den mest scorende spiller nogensinde i verdens bedste basketball-liga ,False,
1071,Sejlsport ,Dansk verdensmester satser alt på OL-triumf,Anne-Marie Rindom mangler én guldmedalje for at fuldende samlingen. Nu går hun all in for at øge sine guldchancer ved OL,False,
1072,BASKETBALL ,"Familiens sikkerhed var på spil, men i aften kan dansk basketstjerne opfylde sin drøm i verdens bedste liga ",Gabriel 'Iffe' Lundberg kan blive den første dansker til at komme på banen i NBA ,False,
1073,FORMEL 1 ,»Det er utroligt«: Tårevædet Magnussen jubler over hurtigste tid i Brasilien,"Regnen begyndte på helt rette tidspunkt for Kevin Magnussen, der netop havde sat hurtigste tid i São Paulo ",True,
1074,Atletik ,Rekordholder anklages for brud på dopingregler,"Tobi Amusan, verdensrekordholderen i 100-meter hækkeløb, anklages for regelbrud efter at have misset test ",False,
1075,Fodbold ,Topscorer forlænger vild stime,"Superligatopscorer Alexander Lind scorede begge mål, da Silkeborg vandt sin femte kamp superligakamp i træk ",True,
1076,KORT SPORT ,Aalborg Pirates laver stort comeback og er tilbage på sporet ,Aalborg Pirates er tilbage på sejrssporet i Metal Ligaen ,True,
1077,Cykling ,Nu reagerer UCI på cykelsportens største historie,"En fusion vil betyde, at der kun vil være 17 World Tour-hold til næste år, bekræfter de ",False,
1078,KORT SPORT,Tommerup Vandpolo vinder dobbelt DM-guld ,"Tommerup Vandpolo fuldendte en vild bedrift lørdag, da både holdets mænd og kvinder sikrede sig DM-guld ",True,
1079,Ishockey,Afgørelse i protestsag modtages med skuffelse i Rungsted,"Rungsted har mulighed for at anke afgørelsen, men det kommer de ikke til, lyder det fra klubbens direktør",False,
1080,Håndbold ,Fredericia tager sjælden sejr i Gudme,GOG har ikke tabt til Fredericia på hjemmebane i 20 år ,True,
1081,Amerikansk fodbold ,Stjerne hylder Andersen: - Han rykkede grænserne for spillet,Morten Andersen har gjort stort indtryk på Baltimore Ravens' stjerne-kicker Justin Tucker ,False,x
1082,Boksning ,Bokselegende vil være præsident i Filippinerne,Den mangedobbelte verdensmester Manny Pacquiao vil i 2022 stille op til præsidentvalget i Filippinerne ,False,
1083,TOUR DE FRANCE ,Politikens Tour-karakterbog: De skabte den bedste danske Tour nogensinde. Intet mindre,"Den gule førertrøje, den prikkede bjergtrøje, fire etapesejre og tre dage i Danmark med utrolige menneskemængder langs landevejene. Tour de France anno 2022 tilhørte danskerne. Det afspejler sig selvfølgelig også i Politikens karakterbog, hvor alle ti ryttere er blevet vurderet. Det var dog ikke alle, som kunne rejse glade hjem fra Frankrig ",False,x
1084,Vinter-OL,"- Jeg har givet landstræneren noget at tænke over, siger dansker",Målmanden Frederik Dichow havde mere end 30 redninger i sin første vigtige kamp med ishockeylandsholdet,False,
1085,ISHOCKEY,Danske ishockeykvinder taber anden VM-kamp på egen is,Trods en god start og en åbningsscoring endte det med dansk nederlag til Tjekkiet i VM-kampen i Frederikshavn ,True,
1086,Amerikansk fodbold ,Dansker får ros efter sin bedste kamp,"Hjalte Froholdt og Cardinals stod overfor ligaens måske sværeste defensive linje, da de overraskende slog Cowboys 28-16 ",True,
1087,SPORT ,"Gyldent søskendepar i kamp mod corona: 'Vi vil rigtig gerne bidrage"" ",Kajakroeren Mads Brandt Pedersen og triatleten Line Brandt Pedersen skal lørdag dyste om at komme først fra Silkeborg til Randers ,False,
1088,Ishockey VM,"- Det er ikke sådan, Danmark spiller","Danmark tabte 6-0 til Schweiz ved VM - det største, danske nederlag nogensinde til netop den nation",True,
1089,Fodbold ,Bruun Larsen bliver matchvinder med flot Premier League-mål,"Jacob Bruun Larsen blev matchvinder i Premier League, da han skaffede Burnley sæsonens første ligasejr ",True,
1090,Baseball ,Chicago vandt World Series,For første gang i 88 år sikrede base-ballholdet Chicago White Sox sig i nat dansk tid titlen som amerikansk mester ved at vinde World Series efter fire finale-sejre på stribe mod finale-debutanterne Houston Astros ,True,
1091,OL PARIS 2024 ,10 OL-øjeblikke du ikke må misse ,I dag er der åbningsceremoni ved OL i Tokyo ,False,
1092,FODBOLD ,Uefa trækker i land: Comeback til russiske U17-landshold afblæst ,"På et møde i Uefas eksekutivkomité tirsdag blev det besluttet, at russiske U17-landshold alligevel ikke får lov at deltage i de europæiske turneringer igen ",False,
1093,Amerikansk fodbold ,NFL-spiller får grønt lys til comeback efter hjertestop,"Damar Hamlin er tilbage i træning, og der er intet til hinder for, at han kan genoptage NFL-karrieren ",False,
1094,Ishockey,Presset Danmark møder stærk tysk keeper,"Danmark skal finde en vej forbi Jennifer Harss, hvis drømmen om en kvartfinale ved VM i ishockey skal leve",False,
1095,SPORT,"»Jeg har ikke bare prioriteret penge, men spilletid. Og så har jeg prøvet at holde fast i de værdier, jeg er vokset op med«","Morten Hjulmands vej mod toppen er utraditionel. Han var så lille, at han måtte tage væksthormon, og før sommerens skifte til Portugal spillede han i mindre klubber - men med afsæt i en tryg base har han forceret alle bump ",False,
1096,Ishockey,"- Det går mig på, siger dansk profil før skæbnekamp","Mikkel Bødker og Nicklas Jensen imponerede ved VM, men venter stadig på scoringerne i OL-kvalifikationen",False,
1097,FORMEL 1,De kalder ham 'Last (Ger)man Standing: Kevin Magnussens nye holdkammerat har en kedelig verdensrekord i formel 1,"Kevin Magnussens nye holdkammerat hos Haas er den eneste tysker tilbage i Formel 1-feltet. Hülkenberg er højt agtet, men har en kedelig verdensrekord",False,
1098,Fodbold ,Taler ud om kysseskandale: - Jeg var i chok,"Jennifer Hermoso forklarer, at hun ikke kunne nå at reagere, da hun blev kysset af Luis Rubiales ved VM ",False,
1099,Badminton ,Antonsen trækker sig få timer inden kamp,"Antonsen-lejren fortæller til TV 2 Sport, at afbuddet skyldes sygdom ",False,x
1100,Ishockey VM,Sikrer VM-bronze efter vildt comeback,Efter en helt suveræn tredje periode af Tjekkiet vandt tjekkerne søndag VM-bronze med en 8-4-sejr over USA,True,
1101,Ishockey,Bjorkstrand scorer i vild NHL-kamp med 17 mål,"I en målrig NHL-kamp fik Oliver Bjorkstrand scoret en enkelt gang for Seattle Kraken, som vandt efter overtid",True,
1102,Atletik ,Dansker stormer i EM-finale i rekordtid,Mette Graversgaard løber søndag aften om medaljer ved indendørs-EM. I semifinalen forbedrede hun sin rekord,True,
1103,Ishockey,Garanteret A-status kan være succesnøgle for Danmark,"Danmarks ishockeykvinder tager fredag hul på det udskudte A-VM i Canada. Danskerne er underdogs, men holdet kan lukrere på garanteret overlevelse",False,
1104,ISHOCKEY,"Et hav af mål, scoring fra midten og straffeslag: Danmark var i store problemer, men vandt i VM-drama","Det danske hold måtte gennem overtid og straffeslag, før to point var i hus ",True,
1105,CYKLING,"Andreas kronede flot etape med en tredjeplads, mens spanier sejrede på hjemmebane ",Cykelrytteren Andreas Kron blev nummer tre på 11. etape af Vuelta a Espana ,True,
1106,Ridning ,Dufour tager tredje VM-medalje,"Charlotte Fry blev den blot ottende rytter i historien til at score over 90, og det gav VM-guld foran dansker ",True,
1107,Ishockey VM,Misfornøjet Frans Nielsen efter VM-sejr,"Danmark vandt over Italien, men der er særligt én ting, der skal forbedres, mener en af profilerne",True,
1108,Håndbold ,Kæmpe resultat for Aalborg,For første gang siden det første indbyrdes møde i 2014 vandt Aalborg Håndbold onsdag over Kielce ,True,
1109,VOLLEYBALL ,Pokalguld til Gentofte og Holte i volleyball ,"Hos herrerne trak Gentofte Volley sig sejrrigt ud af finalen, mens Holte IF tog titlen hos kvinderne ",True,
1110,Badminton ,Ekspert forbløffes: - Den skal vi have i slow,Kodai Naraoka endte med at vinde kampen ,True,
1111,KORT SPORT ,KB Køge glider forbi FC Nordsjælland ,"HB Køges fodboldkvinder gled søndag forbi FC Nordsjælland på andenpladsen i Gjensidige Kvindeligaen, da holdet vandt snævert 1-0 på udebane over bundholdet AaB ",True,
1112,Golf ,USA's kongres undersøger golfsamarbejde,Det nye saudiarabisk ansporede samarbejde mellem de store golfturs får USA's kongres til at rynke brynene,False,
1113,Ishockey,Herning åbner kvartfinaler med stor skalp,"Rungsted bød Herning op til dans, men midtjyderne løb afsted med sejren i det første kvartfinaleopgør",True,
1114,FODBOLD ,Rosenborg-danskere fejrer mesterskab med varm kakao og billard ,Rosenborgs danske anfører Mike Jensen havde ikke meget tid til at fejre det norske mesterskab ,True,x
1115,Fodbold ,Vejle vender bundbrag på hovedet,Hvidovre smed føringen over styr i løbet af få minutter ,True,
1116,SUPERLIGA ,VIDEO Brøndby-profiler skadet i sejr over Hobro ,"Debutanten Kamil Wilczek scorede målet, der sikrede den første Brøndby-sejr over Hobro i femte forsøg ",True,
1117,KORT SPORT ,FC København skal fremover leje sig ind i Parken ,FC København bliver lejer af græstæppet og tribunerne på mesterholdets hjemmebane i Parken ,False,
1118,Fodbold ,Sure fans afbryder landskamp med klart budskab,"Bosnien-Hercegovinas anfører, Edin D?eko, forsøgte at tale fansene til ro, efter de ad to omgange fik kampen afbrudt ",False,
1119,Ishockey,Heinz Ehlers stopper som dansk landstræner,VM til maj bliver Heinz Ehlers' sidste opgave i spidsen for det danske landshold i denne omgang,False,
1120,Sejlsport ,Rindom sejler sig af VM-podiet i Melbourne,"Anne-Marie Rindom havde en sløj dag på vandet på finaledagen, der blev forkortet på grund af dårligt vejr",True,
1121,Ishockey VM,Dansk stjerne er tvivlsom mod Rusland,"Mikkel Bødker blev kørt på hospitalet i Riga, efter at han blev ramt på øret af pucken midt i 3. periode mod Storbritannien",False,
1122,Atletik ,Dansk stjerne i VM-semifinalen,"Mens to andre danskere ikke klarede cuttet, er 200-meter-løber Ida Karstoft i semifinalen ved VM i atletik",True,
1123,FORMEL 1 ,Mercedes-chef ser lys Formel 1-fremtid for dansk stortalent ,Formel 2-køreren Frederik Vesti skal til det mexicanske grand prix køre træning i Mercedes Formel 1-bil ,False,
